l,age,gender,income,education,empl_status,marital_stat,religion,job_worry,exp1_trt,exp1trt1_nc,exp1trt2_nc,exp1_dv1,exp1_dv2,ideol_lr,imp_rel,exp2_trt,exp2_dv,conf_un,leader_type,courts_confidence,Region,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Exp3,Q18_1,Q18_2,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Exp4,,Q21_1,Q21_2,Q22,Q23,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q27_1,Q27_2,Q28,Q29,Q30,Q31_1,Q31_2,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q34,Q35,Q36
1197,44,2,10,8,7,1,1,2,2,,0,2,7,5,1,3,2,1,2,3,Maharashtra,Disagree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Strongly  oppose,Strongly  oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Neither agree nor disagree,Experiment 4 - Treatment 2,,3,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,5,5,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,2=Disapprove Somewhat,4,4,7,7,6,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1199,40,1,4,4,3,1,6,2,1,0,,1,6,8,1,1,1,3,2,3,Telangana,Strongly disagree,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Somewhat oppose,Somewhat oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,6,6,6,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5,5,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,2=Disapprove Somewhat,4,5,4,4,5,Rarely,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1200,30,2,3,5,4,1,6,2,1,0,,1,7,10,1,4,1,1,1,1,Maharashtra,Strongly agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Strongly support,Independence,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,7,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,7,7,7,7,7,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1201,30,1,4,2,2,1,6,1,1,0,,1,7,10,1,4,1,2,2,1,Maharashtra,Agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Support somewhat,Support somewhat,Independence,Self-Reliance,To be well-behaved,To have curiosity,Agree,Experiment 4 - Treatment 2,,7,7,6,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,6,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,2,7,2,2,1,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1202,24,2,3,4,1,6,6,3,2,,1,2,6,10,1,1,1,2,2,1,Kerala,Strongly agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Strongly support,Strongly support,Independence,Obedience,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 1,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7,7,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,6,6,4,6,5,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1206,56,1,6,5,5,1,6,1,1,0,,1,7,7,2,4,1,1,2,1,Uttarakhand,Disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Strongly support,Strongly support,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 2,,7,7,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,5,7,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,4=Approve Strongly,1,2,1,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1207,55,1,5,4,2,1,7,4,2,,1,1,7,8,1,3,2,1,2,3,Maharashtra,Agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Support somewhat,Support somewhat,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,7,4,5,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,7,2,India can’t be too careful,Vastly superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,4=Approve Strongly,1,2,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1208,55,1,2,1,3,1,6,1,2,,1,2,1,1,2,2,4,3,2,2,Haryana,Neither agree nor disagree,Unchecked,Checked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 3,Indifferent,Indifferent,Independence,Obedience,To be considerate,To have good manners,Agree,Experiment 4 - Treatment 1,,6,4,1,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,6,1,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,1,1,2,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1209,36,2,3,5,1,1,6,1,1,1,,1,5,6,1,4,1,2,1,1,Tamil Nadu,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Strongly support,Strongly support,Independence,Obedience,To be considerate,To have good manners,Strongly agree,Experiment 4 - Treatment 1,,5,5,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,4,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,3=Approve Somewhat,5,5,6,5,5,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1210,25,1,3,4,2,6,6,3,2,,1,1,7,10,1,4,2,4,1,3,Chhattisgarh,Disagree,Unchecked,Unchecked,Checked,Unchecked,Checked,Experiment 3 - Treatment 4,Somewhat oppose,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 1,,4,7,2,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,5,7,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,2=Disapprove Somewhat,7,4,1,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1211,39,1,3,4,2,1,6,1,2,,0,1,6,6,1,3,2,2,1,2,Maharashtra,Disagree,Checked,Unchecked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 1,Support somewhat,Indifferent,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Neither agree nor disagree,Experiment 4 - Treatment 2,,4,4,4,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,4,4,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,4,4,4,4,4,Rarely,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1212,22,2,2,0,3,6,5,2,1,0,,1,4,6,1,4,2,3,2,2,Karnataka,Agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Support somewhat,Strongly support,Independence,Obedience,To be well-behaved,To have curiosity,Agree,Experiment 4 - Treatment 2,,5,5,5,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,5,5,India can trust other nations,Not at all superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,4=Approve Strongly,6,6,4,5,5,Rarely,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1213,61,2,9,7,7,1,6,3,2,,0,2,4,6,1,1,3,2,2,3,Tamil Nadu,Agree,Unchecked,Unchecked,Checked,Unchecked,Checked,Experiment 3 - Treatment 3,Indifferent,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,5,4,6,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,4,3,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,5,3,2,1,4,Frequently,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1215,60,1,7,4,2,1,6,2,2,,0,1,6,8,1,4,3,1,2,2,Telangana,Neither agree nor disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Indifferent,Indifferent,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,4,5,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,2,5,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,2,3,2,1,1,Never,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1218,55,1,3,4,1,1,5,1,2,,1,2,2,5,3,3,2,2,2,1,Odisha,Neither agree nor disagree,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Support somewhat,Support somewhat,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Disagree,Experiment 4 - Treatment 1,,4,7,2,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,4,4,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,1,1,2,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Basic rights and freedoms can be limited when it comes to economic development
1219,62,1,9,7,8,1,6,2,2,,0,1,7,10,2,2,2,2,2,2,Maharashtra,Neither agree nor disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Strongly  oppose,Strongly  oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,5,7,5,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5,2,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,2,1,2,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1220,56,2,2,3,1,1,6,1,1,1,,1,7,10,1,4,1,4,1,1,Odisha,Strongly agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Strongly support,Strongly support,Respect for Elders,Obedience,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 1,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,7,7,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,4,7,7,4,4,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1221,62,1,3,4,1,1,6,1,1,1,,1,7,9,1,1,1,1,1,1,Bihar,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Strongly support,Strongly support,Independence,Obedience,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 1,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,7,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,7,6,7,7,7,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1222,56,1,4,4,1,1,5,1,1,0,,1,5,1,1,2,1,1,2,2,Rajasthan,Agree,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Support somewhat,Independence,Self-Reliance,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 2,,7,4,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,7,1,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,1,1,1,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1223,63,1,2,4,4,1,6,2,1,0,,1,7,7,2,4,1,2,2,4,Tamil Nadu,Agree,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Indifferent,Support somewhat,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,6,5,5,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,5,6,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,2,2,6,1,1,Sometimes,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1224,56,1,2,2,1,1,1,2,1,0,,2,6,9,1,1,1,2,1,3,Tamil Nadu,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Strongly  oppose,Strongly  oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 1,,6,7,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,6,7,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,7,7,6,6,5,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1225,59,1,4,3,6,3,6,2,2,,1,1,4,6,3,1,3,2,2,4,Maharashtra,Disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Strongly  oppose,Somewhat oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,5,4,4,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,3,1,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,1,1,1,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1228,60,1,3,4,1,1,6,1,2,,0,2,4,8,2,1,2,2,2,3,West Bengal,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Somewhat oppose,Somewhat oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,5,6,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,7,1,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,4=Approve Strongly,2,2,2,2,2,Sometimes,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1229,59,1,1,0,7,1,6,3,2,,0,2,7,3,3,3,4,2,2,1,West Bengal,Strongly disagree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Indifferent,Indifferent,Respect for Elders,Self-Reliance,To be well-behaved,To have curiosity,Neither agree nor disagree,Experiment 4 - Treatment 2,,7,7,1,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1,7,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,4=Approve Strongly,5,7,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1230,59,1,5,4,1,1,6,1,1,1,,1,6,9,3,3,2,2,2,3,Maharashtra,Neither agree nor disagree,Unchecked,Checked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 2,Indifferent,Indifferent,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,4,2,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,7,1,India can’t be too careful,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,2=Disapprove Somewhat,1,2,1,1,1,Sometimes,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1231,61,1,5,5,1,1,6,1,2,,0,2,5,8,1,2,1,1,2,3,Tamil Nadu,Disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Support somewhat,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 2,,6,4,5,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,5,4,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,2=Disapprove Somewhat,6,4,6,3,4,Frequently,Under no circumstances should basic rights and freedoms be restricted,Basic rights and freedoms can be limited when it comes to economic development
1232,56,2,2,4,5,1,6,3,2,,0,2,4,5,1,3,2,2,1,2,Gujarat,Neither agree nor disagree,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Indifferent,Indifferent,Independence,Self-Reliance,To be well-behaved,To have curiosity,Agree,Experiment 4 - Treatment 1,,4,4,3,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,4,4,India can trust other nations,Not so superior,The judicial system should be directly supervised by the duly elected government in office,3=Approve Somewhat,3=Approve Somewhat,4,4,4,4,3,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1233,60,1,3,4,3,1,6,1,1,0,,1,7,8,1,1,1,3,2,3,Maharashtra,Disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Strongly  oppose,Strongly  oppose,Respect for Elders,Self-Reliance,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 1,,1,7,5,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,7,1,India can’t be too careful,Very superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,4=Approve Strongly,3,5,1,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1234,62,1,4,6,4,1,6,2,2,,1,1,6,8,1,3,2,2,2,2,Assam,Disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Somewhat oppose,Somewhat oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,6,3,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,4,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,2,2,2,1,1,Sometimes,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1235,59,2,3,5,3,1,6,1,1,0,,1,6,6,1,4,2,1,2,1,Uttar Pradesh,Strongly agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Indifferent,Support somewhat,Respect for Elders,Self-Reliance,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 2,,6,7,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,4,7,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,3,4,2,4,3,Frequently,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1236,55,1,6,4,1,1,1,1,1,0,,2,4,7,1,3,2,3,2,3,Maharashtra,Agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Support somewhat,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,3,4,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,4,4,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,4,6,5,5,4,Rarely,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1237,59,1,4,4,3,1,7,2,1,1,,2,3,5,2,1,3,2,2,3,Tamil Nadu,Agree,Unchecked,Checked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 2,Indifferent,Somewhat oppose,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Neither agree nor disagree,Experiment 4 - Treatment 1,,4,5,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,5,4,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,3,5,3,3,4,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1238,64,1,3,2,4,1,5,2,1,0,,1,4,8,3,1,4,1,2,3,Assam,Agree,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Strongly support,Strongly support,Independence,Self-Reliance,To be well-behaved,To have curiosity,Strongly agree,Experiment 4 - Treatment 2,,7,2,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,6,2,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,1,3,1,4,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1239,62,1,3,4,4,5,6,2,2,,1,1,6,7,3,3,1,2,2,2,Gujarat,Neither agree nor disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Somewhat oppose,Strongly  oppose,Respect for Elders,Obedience,To be well-behaved,To have curiosity,Agree,Experiment 4 - Treatment 2,,6,3,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,2,6,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,2=Disapprove Somewhat,2,4,2,1,2,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1241,55,2,4,2,5,1,1,3,1,1,,2,3,5,1,4,4,2,1,2,Gujarat,Disagree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Somewhat oppose,Strongly support,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Neither agree nor disagree,Experiment 4 - Treatment 2,,5,2,3,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,3,3,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,4=Approve Strongly,2,6,5,4,3,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1244,63,1,5,4,7,1,5,1,2,,1,2,3,5,1,2,2,3,2,3,Maharashtra,Agree,Checked,Unchecked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 3,Support somewhat,Support somewhat,Respect for Elders,Self-Reliance,To be considerate,To have curiosity,Agree,Experiment 4 - Treatment 2,,6,6,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,7,1,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,4=Approve Strongly,1,1,2,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1245,59,1,2,3,2,1,1,3,1,0,,2,1,1,3,3,4,3,2,4,Punjab,Neither agree nor disagree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Support somewhat,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 2,,7,7,1,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7,1,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,2=Disapprove Somewhat,1,1,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1248,65,1,3,1,4,1,6,1,1,0,,1,6,8,3,3,4,2,2,2,Jharkhand,Agree,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Indifferent,Indifferent,Independence,Self-Reliance,To be considerate,To have good manners,Agree,Experiment 4 - Treatment 1,,3,5,4,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,7,6,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,2,2,2,1,2,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
